"sampleID","subgroup1","subgroup2","prob1","prob2"
"TCGA.D3.A51R","1","4","0.6629478335380554","0.33505910634994507"
"TCGA.D3.A5GU","2","3","0.5910294055938721","0.4061117172241211"
"TCGA.D3.A8GK","4","2","0.9088149070739746","0.06136828288435936"
"TCGA.D3.A8GP","4","3","0.8606996536254883","0.106420136988163"
"TCGA.D3.A8GV","4","2","0.8184202909469604","0.13047045469284058"
"TCGA.D9.A1JX","3","2","0.6451618671417236","0.3323742747306824"
"TCGA.D9.A3Z3","3","2","0.5929977297782898","0.34891819953918457"
"TCGA.D9.A4Z6","4","2","0.8393998742103577","0.14268074929714203"
"TCGA.D9.A6E9","2","3","0.910256028175354","0.08783528208732605"
"TCGA.D9.A6EA","2","4","0.6549726724624634","0.3423794209957123"
"TCGA.DA.A1HY","4","1","0.6516240835189819","0.315411239862442"
"TCGA.DA.A1I7","1","2","0.6452102661132812","0.30684342980384827"
"TCGA.DA.A1IB","2","3","0.6444377303123474","0.3485795259475708"
"TCGA.DA.A3F2","6","3","0.7645588517189026","0.22797197103500366"
"TCGA.DA.A3F8","2","3","0.7603214979171753","0.21012961864471436"
"TCGA.DA.A95Y","4","2","0.9036098718643188","0.058668896555900574"
"TCGA.DA.A95Z","4","3","0.8308988809585571","0.08660505712032318"
"TCGA.EB.A44R","3","1","0.8628113865852356","0.07674049586057663"
"TCGA.EB.A5KH","3","1","0.829916775226593","0.1477033644914627"
"TCGA.EB.A5VV","3","2","0.7154656052589417","0.2841757535934448"
"TCGA.EE.A17Y","4","1","0.5378119349479675","0.45843151211738586"
"TCGA.EE.A17Z","1","4","0.6060606241226196","0.3864932358264923"
"TCGA.EE.A183","3","2","0.7305080890655518","0.2255449742078781"
"TCGA.EE.A20B","3","6","0.8436805605888367","0.10793406516313553"
"TCGA.EE.A20H","1","4","0.7213906049728394","0.2626611590385437"
"TCGA.EE.A29A","4","1","0.535029947757721","0.45428434014320374"
"TCGA.EE.A29B","4","3","0.8977330327033997","0.06356475502252579"
"TCGA.EE.A29D","4","1","0.6585693359375","0.28471797704696655"
"TCGA.EE.A29L","4","1","0.8343004584312439","0.10682683438062668"
"TCGA.EE.A29R","1","3","0.8515670895576477","0.08736319094896317"
"TCGA.EE.A29T","2","3","0.7131251096725464","0.27880072593688965"
"TCGA.EE.A29W","1","4","0.8755260705947876","0.11898517608642578"
"TCGA.EE.A29X","3","2","0.617898166179657","0.29956263303756714"
"TCGA.EE.A2A0","3","2","0.5100890398025513","0.4693470299243927"
"TCGA.EE.A2A6","2","3","0.7369483113288879","0.25420787930488586"
"TCGA.EE.A2GC","2","3","0.5261287689208984","0.4421690106391907"
"TCGA.EE.A2GE","6","3","0.7944561839103699","0.15452750027179718"
"TCGA.EE.A2GJ","2","3","0.6134089231491089","0.35463646054267883"
"TCGA.EE.A2GK","3","2","0.7607472538948059","0.2383146584033966"
"TCGA.EE.A2GL","3","2","0.8956881165504456","0.09099343419075012"
"TCGA.EE.A2GM","4","3","0.8879818320274353","0.08681759983301163"
"TCGA.EE.A2GO","4","1","0.6762540340423584","0.2817128300666809"
"TCGA.EE.A2GR","1","4","0.8462191224098206","0.1334516704082489"
"TCGA.EE.A2GT","3","2","0.7465555667877197","0.24688059091567993"
"TCGA.EE.A2M5","2","1","0.8831908702850342","0.1109066754579544"
"TCGA.EE.A2M6","4","2","0.8549475073814392","0.10628305375576019"
"TCGA.EE.A2MC","2","1","0.8945749998092651","0.03764713928103447"
"TCGA.EE.A2MK","3","2","0.864141047000885","0.12926295399665833"
"TCGA.EE.A2ML","3","2","0.7121967077255249","0.24893169105052948"
"TCGA.EE.A2MP","2","4","0.8432854413986206","0.072407566010952"
"TCGA.EE.A2MQ","1","2","0.8225446939468384","0.14211483299732208"
"TCGA.EE.A2MS","3","2","0.7858542203903198","0.20564709603786469"
"TCGA.EE.A3AF","3","4","0.8597010970115662","0.07083491235971451"
"TCGA.EE.A3AG","1","4","0.8950713872909546","0.09780378639698029"
"TCGA.EE.A3AH","1","4","0.8219718337059021","0.16823440790176392"
"TCGA.EE.A3JB","4","2","0.8929445743560791","0.10365571826696396"
